Accession,A_1,A_2,A_3,B_1,B_2,B_3
UN060664,59.4,163.7,50.3,27.9,54.8,14.4
UN074334,59.6,48.9,60.4,56.1,46,56.2
UN061124,59.8,152.7,53.4,18.1,38.9,14.1
UN103039,60,421.4,240.9,396.6,293.7,91.5
UN065531,60.3,104.4,86.9,61.8,109.9,44.8
UN059615,61.6,172.4,88.9,92.3,94.9,72.9
UN083398,61.6,86.3,72.7,74.1,83.3,74.5
UN111943,61.6,63,62.4,44.4,50.1,56.9
UN095997,61.8,31.2,80.3,27.6,20.5,75.6
UN063875,62.2,69.2,105.2,80.3,77.2,79.6
UN070439,62.4,75.1,60.4,53.3,92.3,56.9
UN051708,62.4,147.1,118.7,62.4,179.9,48.9
UN058799,62.7,53,100.4,39.9,38.1,106.2
UN076124,63.3,135.6,62.2,32.9,38.5,20.4
UN083656,63.5,67,29,58,64.5,50.3
UN098194,63.6,41.8,53.6,63.9,54.8,72.5
UN082582,63.6,801.4,262.1,82.8,865.2,249.7
UN042274,63.8,41.8,94.3,329.7,416.2,142.4
UN113110,63.8,62.7,88.5,55.1,65.7,80.4
UN083368,64.2,67,60.4,68.9,71.8,53.9
UN048676,65.5,60.8,122,80.3,42,128.5
UN057320,66.2,284,69.6,57.7,105.2,29.5
UN077640,66.6,122.8,57.9,221.8,263.8,66.5
UN114724,66.6,64.5,97.1,49.6,44.8,62.1
UN101438,68.4,54.9,74.1,47.1,74.5,76.7
UN071345,68.6,190.5,64.5,112.1,230.8,60.4
UN077507,69.5,36.5,391.5,45.2,27.4,168
UN065419,69.7,215.7,26.1,24.5,25.2,11.8
UN097829,69.9,98.5,85.9,89.4,96,80.8
UN074099,69.9,63.6,131.4,69.4,46.2,71.7
UN070322,69.9,69.5,54.6,46.2,47.1,34.7
UN067769,70.1,42.4,108.2,43.8,45.6,98.5
UN074608,70.5,229.7,49.7,20.6,43.8,11.1
UN107575,71,67.3,64.7,56.6,72.9,65.4
UN072227,71,99.1,117.9,85.5,48.9,63.7
UN070431,71.4,52.1,47,69.1,68.8,46.8
UN009970,71.4,140,96.3,75.5,94.5,79.3
UN110822,71.6,61.1,91.2,56.9,46.5,62.6
UN069275,71.9,97.3,84.6,87.5,106.8,104.3
UN109442,71.9,92.3,67,23.9,45.2,17.2
UN071747,72.3,82.3,94.7,83.3,101.5,73.2
UN068326,72.3,209.5,64.7,56.1,98.2,30
UN085232,72.7,156.8,73.3,62.4,118.3,34.2
UN095691,72.7,93.8,85.6,78.3,68.6,59.6
UN077341,73.2,212,66.1,22.8,39.1,10
UN089957,73.6,63.3,132.7,53.8,54.8,94.4
UN074672,73.8,55.2,38.2,55.2,40.3,106.1
UN086662,73.9,58,170.5,81.9,61,146.1
UN074316,73.9,78.2,96.3,80.3,81,89.7
UN058944,73.9,47.1,78.7,69.7,77.8,75.1
UN089754,73.9,112.2,122,91.5,57.5,79.8
UN102952,74.3,91,58.7,62.5,90.9,61.5
UN098007,74.5,123.8,27.9,181.2,201.2,46.7
UN068133,74.5,52.4,64.1,86.1,83.1,79.6
UN103748,75.1,58.6,86.7,63,43.2,163.5
UN067968,75.8,169,56.9,72.7,383.9,59.2
UN068266,75.8,84.8,121,89.7,92.3,86.3
UN065516,76.3,136.5,154,58.3,98,111.1
UN073413,76.5,76.4,123.2,26.8,73.7,85.9
UN068692,76.7,86.3,92.6,72.2,86.4,36.2
UN088449,77.6,46.8,134.5,45.8,48.7,177.7
UN082950,77.8,75.7,111.5,82.2,73.9,107.3
UN103579,78,76.4,94.3,55.2,63.6,84.9
UN035175,78.4,41.8,59.2,92.8,49.5,259.5
UN071935,78.4,228.5,49.9,35.2,53,22.1
UN086249,78.7,85.7,82.6,71.4,66.5,81.4
UN054860,78.9,96.9,82.2,36.8,68.6,15.4
UN078390,79.5,59.2,53,68.2,170.9,426
UN092795,79.5,62.7,80.9,75.3,47.3,131.4
UN084823,80,63,62.2,113.4,72.4,83.3
UN071649,80.4,93.2,121.4,91.4,73.3,102
UN070072,81.1,186.7,108.9,74.9,113.8,47.6
UN110991,81.9,61.4,71.3,88,81,102.1
UN080527,82,61.7,49.3,90.9,66.1,49.2
UN065058,82.2,115,137.8,96.1,55.7,72.9
UN112090,82.4,79.5,95.5,109,69,159.1
UN100408,82.4,77.9,142.5,80.6,65.1,137.9
UN079447,82.4,36.5,117.7,45.8,17,142.3
UN089119,82.6,108.5,83.8,87.8,100.1,117.9
UN045863,82.6,94.5,168,100.4,92.3,211.8
UN101223,82.6,77.3,63.7,86.9,44.6,76.1
UN091552,82.8,142.8,110.9,76.3,123.8,77.6
UN109563,83.1,105.1,40.9,139.4,207.5,67.7
UN086096,83.1,52.1,31.4,40.1,41.7,32.5
UN105961,83.3,84.8,112.6,90.3,69.6,108.4
UN055205,83.3,79.5,118.1,84.4,62.6,107.5
UN077970,83.5,29.6,41.5,280.9,95.6,458
UN093789,83.7,58.6,180.9,56.6,58.3,77.4
UN075467,83.7,29.9,42.3,37,64.1,32.4
UN070093,84.4,63.6,77,102.3,79.4,246
UN088944,84.4,69.5,53.2,48.8,74.3,43.3
UN074932,84.8,64.8,88.3,48,36.8,36.6
UN071244,85,123.4,128.4,97.5,134.4,108.1
UN077721,85.2,114.4,91,102.9,104,103
UN078649,85.5,183.3,149.9,158.3,247.8,126.4
UN113709,85.9,74.2,130.6,118.4,77.4,225.1
UN093290,86.1,315.2,153.8,50.1,103.7,21.4
UN081233,86.3,89.8,95.7,69.7,93.9,76.7
UN083713,86.3,205.1,117.7,52.9,108.1,20.8
UN072344,86.5,64.2,72.3,68.6,85.1,149.5
UN100544,86.5,238.2,89.8,64.1,103.5,33
UN058098,87.2,336,69,35.1,58.1,12.3
UN046608,87.4,92.3,139,100.1,161,75.3
UN083071,87.4,113.2,88.5,102.3,94.7,103.5
UN079562,87.6,58,101.5,59.3,27.4,83.8
UN076147,87.9,49.3,134.9,57.1,33.4,115.7
UN104629,88.1,170.8,83.6,90.6,166.4,52.3
UN047180,88.1,58.9,101.7,49.3,33.2,90.1
UN064100,88.3,107.2,116.7,94.2,144.1,78
UN107130,88.5,86.3,79.1,92.3,92.9,100.7
UN067658,88.5,100.1,62,66,80,58
UN052965,88.7,74.5,95.5,72.8,65.7,93
UN085428,88.9,72.3,58.5,70.5,87.4,83.7
UN081039,88.9,68.3,117.1,73.3,80.2,125.5
UN082300,89,63.6,129.8,85.5,40.1,99.4
UN065621,89,155.9,49.5,15.4,31.5,8.8
UN087080,89.2,81.7,71.1,102.3,77.4,115.9
UN091425,89.4,39.9,250.4,46.6,41.3,156.8
UN083352,90.3,118.1,87.9,67.8,75.5,50.9
UN062970,90.5,67.6,69.2,80.3,79.2,108.7
UN058324,90.9,95.4,72.5,92.2,78.2,66.6
UN098786,91.2,44,39.2,105.7,83.9,107.8
UN095050,92,105.4,113,119,134.6,115.4
UN078973,92,77.6,100.6,56.8,65.3,81.7
UN066644,92.2,70.4,65.3,78,90,89.1
UN082803,92.3,139,84,73.8,68.3,85.3
UN109417,92.3,63.3,126.7,39.5,52.8,73.2
UN091232,92.5,52.4,84,63.3,63.6,84.3
UN082167,92.7,112.2,178.1,90,80.6,141.4
UN078667,92.7,37.1,133.5,34.3,17,49.2
UN092275,92.9,62,136.4,122,77.4,124.9
UN105433,93.1,79.2,174.8,51.3,75.3,126.2
UN005787,93.3,104.7,151.8,112.8,89,125.7
UN060154,94.2,60.5,89.8,91.4,61.8,57.5
UN098817,94.4,99.4,58.7,144.4,122.8,96.3
UN072849,94.4,87.6,92,97.8,71.6,166
UN051322,94.4,106.6,108,90.3,58.5,209.9
UN093946,94.6,82.3,264.7,67.5,47.9,242.1
UN054201,94.7,233.5,163.5,69.6,192.4,74.8
UN091299,94.9,74.8,191.8,67.4,39.3,166.9
UN101437,95.1,107.5,81.3,100,103.3,133
UN066489,95.7,55.5,183.8,88.3,35,169.5
UN105136,95.8,106.3,86.9,86.6,72,110.6
UN089601,96.2,76.4,140.5,80.3,65.9,100.7
UN092010,96.4,71.1,94.7,97.8,74.1,91.8
UN091088,96.6,105.1,120.2,220.2,233.9,455.2
UN093136,96.8,73.6,132.7,92.6,52.2,106
UN107671,96.8,75.1,65.3,85.1,76.3,110
UN104692,97.1,104.1,24.6,48,82.5,38.8
UN098408,97.3,110,169.2,102.3,97.8,155.3
UN088215,97.5,254.7,289.2,51.6,197.3,12
UN083660,97.9,87.3,55.9,106.8,124,86.1
UN066519,98,93.5,74.4,200.4,222.2,616.9
UN078130,98,108.8,136.2,91.7,89.6,145
UN076251,98.2,234.1,146.4,141.8,134.6,122.3
UN023895,98.4,45.8,83.8,67.5,46.3,73.3
UN054324,98.8,21.5,487,34.3,22.9,224.2
UN059287,99.2,89.8,72.3,122,101.3,61.5
UN069430,99.5,68.6,133.9,78.1,39.9,195.6
UN096727,99.7,27.4,60.2,57.1,16.2,50.7
UN097912,99.9,225.4,132.5,94.2,315.5,128.6
UN082676,99.9,133.4,130.6,118.8,75.9,106.4
UN067135,100.1,97.6,130,98.9,72.9,82.5
UN103971,100.1,106.9,88.7,77.7,72.9,76
UN046606,100.3,86.7,64.3,83,84.3,77.1
UN101850,100.3,69.5,116,55.5,52.6,133.2
UN086781,100.3,88.5,209.7,65.7,53.4,213.6
UN096572,100.4,228.5,102.7,211.5,225.1,87.6
UN089400,101,155.2,150.5,81.6,224.9,144.3
UN063467,101,51.1,70,56.1,68.1,42.2
UN030642,101.2,58.6,66.3,82.3,82.5,65.5
UN086892,101.5,86.7,107,101.8,102.7,85.6
UN071356,101.9,44.3,65.1,227.2,127.9,163.1
UN087258,101.9,86.3,95.1,85.8,107.2,125.8
UN088417,102.3,116.3,98,95.6,142.2,126.5
UN114277,103,87.3,61.8,126.2,206.5,358.6
UN078726,103.2,74.5,85.6,99,86.8,93.5
UN114141,104.7,72,130.4,77.7,62.6,126.9
UN082932,106,111.9,153.2,128.8,148.2,165
UN110134,106.7,64.2,87.1,83.7,84.5,109.1
UN058325,107.1,92.9,92.6,112.1,104.4,85.9
UN076059,107.4,88.2,88.1,92.8,101.5,160
UN080136,107.6,81.4,116.5,138.5,138.9,189.4
UN037149,107.8,99.8,111.3,112.6,94.9,136
UN083822,108,119.1,133.9,121.5,119.1,114.2
UN065018,108.2,154.9,103.7,72.2,128.9,110.7
UN049891,108.3,144,169,110.1,152.2,125.7
UN067209,108.5,192.3,189,124.3,159.2,85.9
UN056275,108.7,119.4,289,119.3,82.7,160.6
UN071573,108.9,99.8,259.4,96.8,63.4,166.7
UN081291,108.9,1254.4,319.8,143.6,444.1,290.9
UN089061,109.1,118.1,127.5,129.4,87.8,134.8
UN044933,109.3,141.8,133.9,191.5,369.6,62.9
UN087674,109.6,116.3,139.9,91.2,101.3,116
UN102936,109.6,56.7,133.9,62.5,55.7,152.7
UN073973,110,109.1,148.7,127.3,92.9,106.1
UN104063,110.4,118.5,86.9,109.5,168,152.7
UN080566,110.7,128.7,160.4,154.4,109.5,158
UN097383,112,157.7,117.7,129,151.6,145.2
UN114200,112.2,90.4,104.7,145.5,152.3,123.3
UN070347,112.2,78.6,137.8,103.9,69.8,140.8
UN112075,112.2,98.8,94.5,90,104.2,96.3
UN092496,112.4,93.8,111.7,32.1,49.7,35.7
UN043584,112.8,57.7,115,86.2,38.1,129
UN105763,113.1,127.8,117.5,114.6,131.8,114
UN056094,114.8,139,163.9,149.9,204.2,101.6
UN054257,115.2,111.3,134.7,112,153.9,120.7
UN053455,115.3,161.5,154.9,140.8,149.8,154.9
UN082876,115.5,104.7,155.5,104.8,70.6,125.5
UN081264,115.7,74.8,98.6,85.6,82.9,71.4
UN087658,115.9,116.9,233.5,143.6,92.3,172.1
UN068284,115.9,313.3,124.9,29.6,74.5,21.7
UN086740,116.1,87.9,75.2,148.6,158.8,179.5
UN099293,116.1,106.6,151.4,127.9,109.3,150.5
UN054210,116.6,106.9,325.5,83.9,82.7,341.7
UN081806,117,119.4,123.8,116.5,112.5,92.2
UN067254,117.9,131.2,158.1,155.3,171.7,187.4
UN059301,118.8,130.6,79.5,80.2,89,77.6
UN089018,119.2,70.8,113.6,98.6,60.6,119.7
UN074806,119.6,104.7,70.2,169.8,235.9,205.2
UN080195,119.8,92.3,202.9,161.7,149,231.9
UN068982,119.9,174.9,308.9,134.7,109.5,202.3
UN064073,119.9,190.2,140.5,126.6,122,103.6
UN068394,120.1,126.2,146.9,114,144.1,121.5
UN107870,120.3,92.6,190.6,98.1,124.2,140.1
UN059617,120.3,142.5,171.3,114.5,76.3,88
UN025763,120.5,117.8,135.1,151,155.7,132
UN057378,120.5,118.5,204.4,125.7,81.4,258.4
UN087434,120.5,134.4,128.4,102.3,99.7,61.4
UN108953,120.7,112.2,159,96.7,66.3,183.3
UN079605,121.2,76.4,95.5,166.2,147.3,333.7
UN076708,121.6,78.2,116.7,109.3,113.2,154.2
UN070644,122,158,125.7,127.3,165.5,102.4
UN047441,122.1,191.1,67.6,243.9,225.7,98
UN060763,122.3,118.1,178.9,190.3,87.6,196.1
UN069053,122.3,398.4,134.5,45.8,75.5,20.9
UN069699,123.1,119.4,137.4,127.1,174.1,118
UN087189,123.2,91,195.1,124.1,56.9,233.4
UN090369,124,98.8,108.9,142.2,103.5,131.2
UN077442,124,115.3,105,112.6,132.2,85.2
UN070399,124.7,252.5,72.5,31.2,54.8,28.6
UN107885,125.1,100.4,189.8,128.2,87.8,161
UN073362,125.3,123.8,90.8,123.4,132.6,78
UN114646,125.5,69.5,84.8,94,55,124.8
UN078682,126.4,144.3,147.5,172.8,146.5,129.5
UN086117,126.4,136.2,136.4,127.4,112.3,152.2
UN096753,126.7,143.7,186.9,147.7,120.5,195.7
UN058003,126.9,354.1,75.2,26.8,26.2,12.6
UN066024,127.7,104.1,156.3,155.6,140.6,113.6
UN106462,127.8,91.6,134.5,115.1,72.9,173.4
UN080113,127.8,91.3,166.8,88.3,102.1,164.8
UN070251,128,183,137.6,151.1,180.5,91.8
UN074514,128,177.7,175.6,120.4,141,147.2
UN101815,128.4,96,91.2,137.1,61.4,132.7
UN073317,128.8,142.1,79.9,183.2,189.9,423.3
UN076438,128.8,140.3,114.2,134.6,161.9,120.9
UN089299,129,103.2,105.8,123,119.9,144.1
UN043145,129,149,92.6,25.3,61.6,20
UN056830,129.3,92.3,159.2,88.6,78.8,214.2
UN110564,129.7,111.3,171.5,151.1,92.7,243
UN099513,129.9,125,187.9,141.9,141.4,202.7
UN078021,130.1,72.6,105.4,172.6,96.4,171.5
UN074177,130.1,98.2,97.6,146.4,156.3,113.7
UN073047,131,226,546.5,31.2,73.7,47.3
UN082811,131.3,128.7,92.6,147.8,74.9,206.9
UN107524,131.3,119.7,106.6,122.6,106.2,131
UN049264,132.1,110.3,152.6,130.5,121.6,105
UN082052,132.3,108.5,97.4,126.8,156.8,86.3
UN091402,133,107.9,131.7,142.1,137.7,124.1
UN067175,133,124.4,110.7,115.7,96.6,122
UN104971,133.2,138.1,211.8,164.2,126.1,182.1
UN068369,133.6,135.3,99,95.1,156.6,96
UN083797,133.9,293.6,144.6,102.5,347.1,165.5
UN087824,133.9,225.7,158.6,122.1,264.8,149.9
UN072201,133.9,165.2,131,157.7,91.7,56.5
UN070440,134.3,86,115.2,158.4,135.7,134.3
UN006650,134.7,284.3,152,104.3,165.5,117.8
UN076516,134.8,162.4,139,130.5,191.1,149.8
UN067237,135,124.4,122.2,146.4,148,120.9
UN104292,135.4,112.2,216.9,125.4,74.9,273.5
UN075240,135.6,77,297.4,96.5,72.4,217.6
UN076509,135.6,193,130,143.3,181.7,123.2
UN076795,135.8,120.3,87.7,138.8,138.5,122.1
UN096299,135.9,149.6,137.2,107,99.3,140.3
UN074545,136.1,123.1,139.7,123.8,164.5,116.5
UN111506,136.3,110,279.9,132.6,115.2,260.3
UN101838,137.2,42.7,41.9,369.4,154.3,827.7
UN068656,137.2,131.2,165.5,142.5,178.2,250
UN052857,137.2,115.6,219.1,125.4,102.3,214.9
UN070804,137.6,114.7,181.8,115.9,116.2,117
UN053568,137.8,46.4,100.2,332.5,108.5,1238.3
UN055305,138,153.4,224.9,131.5,103.5,251.2
UN107312,138.1,80.1,231.3,160.2,70,125.7
UN109644,138.5,92.6,132.7,160,107.4,235.5
UN106430,138.7,195.1,108,147.5,199.7,61.6
UN078415,139.1,122.8,136.2,160.5,177,109.6
UN081662,139.1,137.5,118.9,100.7,158,145.1
UN087559,139.1,147.1,169.7,156.6,123.4,155.4
UN071507,139.4,461.7,175.4,79.1,105.8,45.3
UN071997,139.8,85.7,266.6,63.2,51.6,223.6
UN101201,140,110.7,70.2,128.2,96,106.4
UN071508,140.5,200.1,129.6,131,234.9,140.8
UN094300,141.1,96.9,132.3,133.2,105.8,198.3
UN075005,141.3,186.4,113,128.5,142.2,147.6
UN021872,141.3,143.7,164.3,86.2,163.9,127.5
UN088677,141.5,113.8,130,113.8,145.3,141.8
UN105305,141.5,132.5,114.2,112.1,145.3,128.2
UN066779,141.8,177.4,156.9,189.5,165.6,176.4
UN085294,143.1,91.3,145.8,90,47.1,230.7
UN082050,143.1,89.2,218.9,107,45.8,280.9
UN095969,143.3,154,123.8,274.3,228.6,261.1
UN079258,143.3,106.3,433.4,120.9,72.9,258.3
UN066073,143.7,136.8,252.6,124.1,78.8,283.4
UN092977,144,110.3,209.9,190.1,106,232
UN072514,144.2,597.3,127.3,171.1,568.7,284.5
UN090190,144.6,128.1,106.8,113.1,135.9,138.4
UN082672,145,52.7,266.4,153.9,61.4,305.8
UN090993,145.3,111,138.6,136.8,109.3,151.9
UN076097,145.3,242.5,115.4,62.1,102.1,53.8
UN082478,145.5,110.7,151.8,115.7,123.8,98
UN089374,145.7,94.5,123.6,310.2,256.2,419.6
UN085389,145.7,137.2,137.8,168.9,151,231.5
UN074162,145.9,291.1,265.2,190.4,169.8,570.6
UN080107,146.2,178,255.1,169.4,144.7,173
