Accession,A_1,A_2,A_3,B_1,B_2,B_3
UN078353,77.6,67.3,282.2,27.4,30.3,21.5
UN063601,77.8,45,,110,57.4,105.4
UN101567,78.1,72.6,99.6,314.6,303.1,391.4
UN097912,78.3,209,99.6,102.3,64.8,127.8
UN110298,79,45.5,,126.3,74.9,74.6
UN107519,79,59.6,182.6,66.7,87.3,90.9
UN060452,79.2,22.5,96.3,199.9,338.5,217
UN105055,79.7,257.1,,485.6,711.4,1078.1
UN104257,81.5,88.5,,67.1,72.1,71.3
UN079519,82.7,409,149.4,156.9,287,92.7
UN084633,83.1,48.4,514.6,394.4,226.4,229.1
UN076955,83.1,502.2,733.7,181.5,81.3,201.3
UN058115,83.8,99.4,93,94.1,112.5,92.3
UN076056,83.8,453.1,,107.7,51,100.6
UN069844,84.1,144.2,126.2,58.4,44.5,61.7
UN099916,84.3,36.6,99.6,72.2,136.4,78.5
UN044078,84.5,64.6,,99.3,492.3,179.7
UN040715,84.5,185.2,132.8,150.2,202.1,115.8
UN094217,86.1,123.6,112.9,157.5,161.7,225.4
UN082093,86.4,60.1,49.8,50.8,46.4,66.4
UN081974,87.1,189.3,112.9,217.5,311.4,279.8
UN111720,87.1,89.5,102.9,93.3,98.7,146.8
UN101850,87.1,231,132.8,126.3,94.1,158.6
UN071659,90.1,109.5,159.4,239.9,220.4,191.4
UN080431,90.3,51,547.8,85.1,129.5,111.2
UN112760,90.3,76.4,272.2,52.3,59.7,72.8
UN062810,91.7,349.5,112.9,173.4,143.7,197.4
UN082134,91.7,233.8,112.9,105.6,132.3,110.3
UN062685,92.6,36.8,146.1,243.7,62.5,295.7
UN089940,92.8,100.5,351.9,42.2,49.6,119.2
UN106420,93.3,120.3,209.2,98.1,113,178.5
UN093304,93.5,154,146.1,425.2,87.7,418.3
UN073307,93.8,70.1,129.5,103.7,357.3,99.8
UN068592,94,324.6,109.6,106,77.2,86
UN090152,94.7,288.3,116.2,74,73.5,63.2
UN039775,94.7,276.1,156,68,47.3,62.3
UN072788,95.4,35.8,86.3,180.1,144.7,183
UN090564,95.4,131.8,49.8,123.2,103.3,102
UN058548,95.4,347.9,53.1,247.4,108.4,215.5
UN094998,95.6,263.4,119.5,248.5,135.9,224.6
UN105700,96.1,179.6,99.6,86.4,40.9,99.1
UN062956,96.5,284.3,295.5,150.2,132.7,146.3
UN084053,97.5,95.5,46.5,97.5,80.8,86.4
UN098060,97.7,64.2,212.5,151,164,217.9
UN096918,98.4,229.1,99.6,116.5,157.1,250.4
UN114982,99.5,99.2,202.5,102.1,118.5,110.4
UN095806,100,123.4,405,71.9,90,104.7
UN084326,100.5,66.1,156,110,87.7,215.3
UN061286,101.1,332.6,106.2,206,192.4,221.4
UN100784,101.1,122.5,119.5,289.7,208.5,280.2
UN114024,101.4,385.4,49.8,187.4,103.8,163.2
UN084594,102.1,420.1,232.4,384.8,506.1,532
UN096254,102.1,105.3,112.9,80.7,150.6,160.1
UN013433,102.3,274.9,235.7,345.1,152.5,390.3
UN062696,103.9,166.8,99.6,199.7,100.6,175.9
UN073983,105.1,507.7,182.6,77.4,142.8,109.7
UN083057,106.7,203.3,132.8,143.1,212.6,171.6
UN059329,106.9,191.5,786.8,516.6,634.2,639.9
UN077104,106.9,56.9,93,70.7,63.4,56.2
UN080195,107.6,205.9,199.2,208.3,227.8,211.7
UN101958,107.8,132.8,268.9,357.4,385.3,226.1
UN066609,107.8,79.7,302.1,83,114.8,96.1
UN061267,108.3,104.9,275.6,101.4,159.4,73.7
UN113285,108.5,55,109.6,65.7,91.4,62.9
UN074841,108.5,88.9,846.6,54.4,59.2,51.7
UN109002,109,63.7,,97,124.5,78.9
UN096002,110.2,65.5,156,52.3,81.7,56.9
UN076242,110.4,65.4,96.3,503,174.5,169.8
UN070256,111.5,90.9,49.8,91.6,139.6,79.8
UN074732,112,85.8,102.9,95,147,78.5
UN074334,112.5,51.9,786.8,71.5,102.9,87.1
UN070283,112.7,236.8,53.1,282.1,134.6,310.8
UN079920,113.2,89,53.1,92.4,115.3,95.5
UN068774,113.4,175.6,122.8,233.4,160.3,209.9
UN091421,113.8,95.2,129.5,55,62.5,60.6
UN065516,114.1,136.8,102.9,170.9,196.1,197.4
UN113110,114.1,178.2,,98.1,94.1,118.6
UN076882,114.3,140,172.6,52.5,101.5,88.4
UN060868,114.8,361.2,46.5,195.8,129.5,187.3
UN098194,115.7,100.1,235.7,188.2,225.5,232.1
UN102841,116.2,48.3,225.8,190.1,340.3,151.7
UN095109,116.6,49.6,,69,115.7,62.3
UN061240,116.8,124.3,79.7,99.6,79,120.5
UN071500,117.3,68,96.3,97.5,88.2,55.6
UN070790,118,94.7,162.7,314.6,223.7,375.7
UN064774,118.2,59.8,129.5,570.3,170.4,383.2
UN102683,119.2,261.5,109.6,154.6,130,259.1
UN067101,119.4,20.3,102.9,73,6.9,70.3
UN087272,119.9,253.7,176,267.1,218.6,249.4
UN095770,120.8,281.9,162.7,143.7,234.2,236
UN095685,121,243.1,79.7,154.8,153.8,203.9
UN065982,121.7,784.7,96.3,502.8,237,393.4
UN080134,122.2,146.6,159.4,157.9,108.4,133.2
UN079225,122.2,945.4,156,198.7,94.1,211.6
UN098353,122.4,281.4,182.6,313.1,197.5,216.6
UN107985,122.4,954,215.8,198.3,148.8,174.6
UN065233,122.4,569.2,69.7,50.2,87.7,56.5
UN105283,122.9,115.5,122.8,335.9,333.4,471.8
UN107839,123.1,123.9,205.8,251.6,160.7,179.1
UN082357,123.1,111.9,43.2,146.6,223.2,150.7
UN051678,123.1,308.6,451.5,164,278.8,325.3
UN106849,123.3,68.4,122.8,68.6,68.4,64.4
UN083242,124,123,189.2,55.6,70.7,61
UN109423,124.5,156.8,156,115.9,156.6,91.6
UN063576,124.5,65.4,119.5,42.2,64.3,33.2
UN083285,124.7,204.5,49.8,324.6,348.6,238.4
UN114200,124.7,69.5,43.2,175.9,187.8,161.4
UN068656,125.4,224.3,215.8,214.4,211.3,240.8
UN102486,126.3,71.9,504.6,74.5,117.1,119.6
UN115179,126.5,68.2,381.8,53.7,87.3,76.1
UN072514,127.2,430.8,112.9,306.2,306.8,183.9
UN067534,127.5,101.3,717.1,91.4,203.4,115.5
UN076246,127.7,430,93,282.6,175.9,417.3
UN074683,128.2,202.6,185.9,209.8,230.1,261.2
UN054324,128.4,62.8,308.8,262.3,226.4,385.8
UN096830,129.5,70.2,551.1,37.4,25.7,26.9
UN090896,130.5,170.3,43.2,337.3,319.6,288
UN076300,131.2,116.1,209.2,164.4,173.6,147.6
UN068373,131.4,367.2,176,149.3,82.2,215.1
UN085070,131.4,136.3,634.1,69,98.3,96.3
UN068555,132.1,140.6,,212.3,288.4,138.4
UN089644,132.3,86.3,408.4,81.1,114.4,82.6
UN109893,132.8,221.4,816.7,266,325.6,289.7
UN078877,133.7,80,146.1,161.7,132.3,176.7
UN052965,133.7,200,,97.7,99.7,156.5
UN095608,133.9,231.8,285.5,315,209.9,216.2
UN076806,134.4,613,192.6,950.8,179.1,871
UN066779,134.6,422.8,96.3,107.1,53.7,140.1
UN071171,134.9,147.9,833.3,160.4,194.7,149.6
UN074639,135.3,207.6,166,379,269.1,361.9
UN085351,135.3,125.3,285.5,167.1,223.2,124.4
UN059260,136.7,109.8,162.7,110.6,187.8,167.9
UN099299,136.7,123.7,129.5,155.6,99.2,139
UN086561,137.4,114.4,46.5,52.5,70.7,35.8
UN096221,137.9,93.3,328.7,96.6,54.2,87.7
UN081417,138.6,519,93,275.2,123.5,342.1
UN078728,138.8,168.3,697.2,161.7,239.3,201.5
UN110753,138.8,243.3,209.2,166.3,135.9,176.7
UN084448,139,81.2,249,103.5,128.6,97.2
UN081804,139.2,133.6,272.2,177.1,285.7,261.2
UN078992,139.5,146.7,222.4,109.4,94.1,103
UN075683,139.7,627.1,1955.4,190.7,90.9,128.3
UN047141,140.2,311.3,199.2,224,221.8,238.6
UN058991,140.4,248.3,93,196.4,159.4,164
UN089208,141.8,437.8,425,389,189.7,412.1
UN070479,142.2,144.2,112.9,118.4,147.4,123.1
UN073604,143.2,319.8,245.7,324.6,486.8,296.1
UN048208,143.4,262.6,182.6,372.1,237,254.3
UN076311,143.9,482.7,159.4,216.9,131.8,244.6
UN088590,144.1,333.9,527.9,352.4,112.5,252
UN099974,144.1,76.2,252.3,103.5,44.5,93.6
UN102092,145,433.9,63.1,306,255.3,250
UN082246,145.5,150,189.2,338.8,235.1,145.9
UN083980,145.7,184.6,215.8,188.2,293.5,253.2
UN079433,146.4,95.3,232.4,183,207.1,165.5
UN083213,146.6,120,225.8,80.3,90.5,98.1
UN079191,146.9,220.7,192.6,126.5,210.8,156
UN111239,147.3,360.9,152.7,199.3,210.8,192.3
UN074047,147.3,322.4,139.4,229.2,129.5,257.4
UN079112,147.8,764,189.2,434.6,199.8,307.8
UN073901,148.5,601.9,,188.2,80.4,253.2
UN089292,149.9,200.7,282.2,190.3,220,163.8
UN064216,150.6,233.5,1274.9,234.4,217.7,208
UN059528,151,361.3,627.5,250.1,183.7,203.7
UN074995,151.7,141.5,810.1,117.3,177.7,116.2
UN101900,152.2,327.6,159.4,351.4,229.6,487.5
UN082254,153.3,236.1,142.8,193.2,152,153.3
UN070347,153.8,92.9,481.4,284.9,204.4,253.3
UN068214,154,269.5,109.6,280.9,175.9,363.2
UN093406,154.5,2139.7,491.4,349.7,282.9,179.7
UN063492,155.2,86.6,235.7,152.9,148.8,169
UN071906,155.6,123.3,288.8,228.6,371.5,153.2
UN096697,155.6,359.3,192.6,415.1,224.6,311.5
UN056734,156.6,129.2,116.2,197.2,389,188
UN088758,156.8,139.5,,318.1,312.8,217.3
UN057296,156.8,464.6,1035.8,350.3,238.8,390.8
UN084520,157.3,120.2,162.7,266,285.2,242.1
UN075491,157.5,243.2,192.6,385.4,169.5,330.8
UN068994,157.7,226.4,461.5,380.6,184.2,309.3
UN114996,158.6,272.8,272.2,171.9,193.8,184.9
UN067581,159.1,128.9,212.5,1042.4,279.2,624.2
UN064471,159.3,244.1,53.1,243.2,218.6,134.7
UN103592,159.3,119.6,547.8,116.7,165.8,139.2
UN114274,159.6,261.5,212.5,330.9,205.3,401.5
UN078706,159.8,130.9,1015.9,623.9,512.5,811.5
UN111506,160.7,137.7,166,221.7,283.4,250.7
UN109258,162.1,150.2,139.4,94.5,68.4,115.5
UN073756,162.6,114.3,112.9,129.9,159.8,159.5
UN101848,163.3,147.6,166,144.7,171.8,214.5
UN053785,163.5,146,96.3,298.2,565.8,276.1
UN076084,164,333.3,235.7,405.3,302.2,319.8
UN115165,164,54.3,537.8,185.7,301.3,175.9
UN081345,164,446.6,272.2,222.7,175.4,223.1
UN073879,164,137.3,361.9,60.9,161.2,79.1
UN092948,164,227.5,517.9,165.6,207.6,208.9
UN060312,164,93,102.9,78,2053.8,178
UN113724,164.4,166.5,53.1,194.7,154.8,190.7
UN077305,165.1,355.2,202.5,107.7,125.4,161.9
UN086581,165.3,98.3,182.6,121.3,182.8,117
UN065183,165.6,107,96.3,247.6,175.9,93.8
UN064239,166.3,189.3,1245,138.7,192,155.8
UN101437,166.5,400.4,159.4,417.9,234.7,372.5
UN112544,167.2,101.8,112.9,949.7,480.4,1014.1
UN105029,167.7,82.8,,321.9,276.9,386.7
UN055292,167.9,82.6,166,143.9,196.1,371.4
UN078667,167.9,96.7,182.6,158.9,90.5,127.4
UN004492,168.1,144.2,166,91.2,147,100.4
UN070246,169,117.9,222.4,124,102.4,134.3
UN053888,169.7,987.1,172.6,1248,568.6,1195.4
UN079617,169.7,982.2,1656.7,894.9,433.1,692.7
UN077983,170,487.4,132.8,205.2,180.5,162.5
UN070573,170.4,209.6,132.8,161.9,135.5,115.7
UN076578,170.9,1060.8,222.4,127.2,104.7,181.7
UN049371,171.3,50.3,292.2,70.5,69.8,160.2
UN083368,171.6,136.9,298.8,125.5,240.6,171.8
UN110657,171.8,369.1,790.1,395.9,227.3,464.1
UN077444,172,591,179.3,144.1,150.6,147.4
UN106331,172.7,264.3,106.2,258.9,222.3,241.2
UN071749,172.7,123.7,172.6,182.2,205.3,189.9
UN089313,173.9,371.5,89.6,317.1,156.1,261.9
UN074605,174.6,137.1,318.7,294.3,367.4,256.9
UN074397,175.3,259.7,202.5,401.6,253.5,243.3
UN099737,175.5,136.4,730.4,148.7,186.9,169.8
UN062989,176.2,414.7,49.8,119.6,58.3,94.8
UN093346,176.4,224.3,159.4,213.3,175,164.2
UN106624,177.8,144.3,584.3,140.8,184.2,147.9
UN073306,178,120.3,152.7,290.9,281.5,322.2
UN082642,179.7,663.5,172.6,645.8,419.3,554.2
UN071043,180.4,269.8,46.5,175.3,198.4,177.4
UN079261,180.6,90,49.8,330.4,118.9,262.1
UN081106,180.8,304.1,786.8,247.8,190.6,217
UN097316,180.8,67.7,235.7,76.8,108.4,85.6
UN060058,181.3,205.4,212.5,936.3,3479.8,465.6
UN064421,181.3,188.3,278.9,2056.5,1043.4,1718.9
UN065397,182.4,239.2,142.8,160.4,191,173.5
UN056517,182.7,47.5,146.1,116.9,248.9,188.4
UN070377,183.8,660.5,172.6,188,343.1,222.2
UN096226,184,90.7,318.7,117.3,127.7,145.7
UN112905,184.7,88.8,298.8,103.3,164.9,104.3
UN099651,187,160.3,169.3,218.3,178.2,166.8
UN083447,187.3,236.9,225.8,508.2,649.8,284.9
UN114724,187.3,323,46.5,959.8,1227.6,772
UN094264,187.3,230.1,126.2,360.4,294.4,362.3
UN097383,187.5,172.3,285.5,119.6,114.8,178.7
UN079997,188.4,66.2,481.4,234.9,216.3,251.7
UN073524,189.1,227.3,126.2,321.2,501.5,317.3
UN064189,189.6,397.7,305.4,270.4,256.7,286
UN100619,190.5,482.2,,531.4,136.4,397
UN061560,190.7,120.4,156,333.4,325.2,425.9
UN088822,191,255.7,96.3,179.9,210.3,197.9
UN114858,193.1,460.7,176,214.2,192.9,261.2
UN072756,193.5,105.8,421.6,152.3,402.3,174.2
UN079411,194.2,190.8,255.6,155.4,220.4,120.1
UN106173,194.7,191,99.6,188,299,218.1
UN093474,196.1,379.7,229.1,235.7,191,256.1
UN063241,196.5,213.3,461.5,3849.7,2104.3,1042.8
UN087674,197,166.9,162.7,114.6,167.6,135.6
UN027218,197.2,619.3,122.8,257.2,119.4,204.8
UN072814,197.4,229.2,285.5,165.2,162.1,175.2
UN069430,198.4,374.7,295.5,184.7,146,110.3
UN111184,200.2,272.8,119.5,353.9,329.7,342.3
UN112669,200.4,446.2,222.4,162.5,132.7,130.4
UN067506,201.1,324.2,162.7,102.5,169.9,175.4
UN063371,201.6,186.1,142.8,289,386.7,269.6
UN074942,203.4,150.3,315.4,83.4,158,124.2
UN065867,203.9,181,129.5,174.4,865.2,222.7
UN098735,204.1,120.3,421.6,175.5,110.2,235.4
UN065408,205.1,132.7,76.4,65.7,76.2,67.2
UN061345,205.5,166.3,96.3,314.6,307.7,216.2
UN094911,206.2,156.9,444.9,256.6,257.6,265.1
UN092081,206.2,306.2,737,209.1,254.4,216.4
UN079543,207.8,601.1,136.1,665.1,249.8,287.5
UN092558,208.8,904,119.5,174.8,251.2,177.8
UN060507,209.4,45.4,358.6,571,286.6,436.5
UN110036,209.4,362.2,647.4,298.2,253,343.3
UN055419,210.1,217.7,225.8,444.4,369.7,605.4
UN061077,210.1,346.5,109.6,142.8,121.7,127.6
UN088207,210.4,577.6,142.8,145.6,219.5,175.4
UN061293,211.1,255.2,53.1,194.3,194.3,395.7
UN070953,211.8,563.8,268.9,997.6,225,724
UN090432,211.8,227.7,322,300.3,199.3,237.1
UN052718,212.7,96.6,428.3,345.9,371.1,220.5
UN068453,212.9,65.1,136.1,263.7,201.2,324.8
UN049456,212.9,165,162.7,152,567.2,157.8
UN079823,213.1,159.1,199.2,215.2,241.1,190.8
UN052510,213.1,349.5,388.4,209.8,203,233
UN066723,213.4,268.2,531.2,257.2,264.5,206.9
UN071345,213.6,139.1,83,248.3,319.2,257.1
UN061862,213.8,75.5,136.1,279.4,252.1,250.2
UN092680,214.5,315.1,292.2,593.1,293.9,780
UN074096,214.5,1227.7,212.5,441.5,168.1,654.2
UN069686,215.5,315.1,132.8,225,42.7,112.9
UN076147,215.7,590.3,139.4,550.9,166.2,604.6
UN081532,217.1,118.2,146.1,125.7,164.4,129.5
UN090136,217.5,328.6,305.4,215,208,215.1
UN059901,217.8,126.5,215.8,162.1,239.7,190.3
UN085480,218.9,107.8,494.7,131.8,183.2,193.3
UN086178,220.3,359.4,209.2,434,310.5,377.4
UN086201,220.3,232.1,597.6,239,226.9,226.1
UN078621,220.8,308.3,142.8,298.4,375.7,352.4
UN071573,222.6,220.4,232.4,588.5,423,721
UN082860,222.6,117.3,139.4,235.7,186.9,300.7
UN067769,222.6,334.8,561.1,407.8,854.7,439
UN090740,222.6,609.9,667.3,386.9,255.3,497.5
UN062992,222.8,60.9,162.7,251.8,432.2,276.7
UN068830,223.3,1933.2,182.6,1289.4,737.1,1376.4
UN074127,224.5,702.3,129.5,253.5,271.9,303.3
UN058388,224.7,418.5,441.6,1654.7,370.6,1429.4
UN079674,224.7,238.7,,160.8,264.1,183.6
UN076059,224.9,102,192.6,254.3,198.4,230.8
UN075009,224.9,71,96.3,86.8,176.8,58
UN110893,225.2,590.3,1019.2,347.4,275.6,429.1
UN077219,225.4,366.7,1148.7,506.1,349.5,322.9
UN081875,225.4,549.5,1132.1,1793.4,996.1,2262.9
UN053424,225.8,74.9,288.8,144.9,263.6,166.6
UN077815,225.8,106.7,630.8,41,123.1,64.4
UN104882,226.1,346.5,215.8,292.6,343.1,325.2
UN075661,226.5,209.7,169.3,207.5,357.8,251.1
UN063296,227,409.4,800.1,683.9,417,786.3
UN104292,227,190.5,594.3,179.7,256.3,232.3
UN094211,227.5,224.3,252.3,767.3,962.6,714.5
UN107661,227.5,543.9,219.1,911.4,558.5,828.1
UN073980,228.2,264,395.1,402.8,206.2,838
UN087831,228.4,216.4,,361.2,266.8,403
UN081320,229.5,414.2,122.8,408.9,317.3,466
UN079399,229.8,223.4,378.5,1198.6,427.1,276.3
UN093543,229.8,434.1,265.6,285.9,230.1,302.2
UN064280,230,85.3,149.4,234.9,260.9,222.9
UN058396,230.2,544,132.8,721.1,1611.1,721.2
UN095423,230.5,238,308.8,135.1,147.9,155.4
UN062443,231.2,301.2,298.8,657.5,1161.9,645.5
UN077970,231.6,122.1,53.1,700.6,1427.4,808.1
UN103523,232.1,182,212.5,293.8,240.6,296.4
UN114122,232.5,65.7,581,92.2,83.6,107.8
UN070490,233,304.2,142.8,1201.9,848.7,1152.9
UN058533,234.6,73.8,106.2,146.2,183.7,104.3
UN081409,234.9,479.3,149.4,303.9,350.4,350
UN048025,236.2,79.3,245.7,365.4,510.2,244.2
UN078282,236.7,201.3,421.6,334.4,213.1,291.2
UN076516,236.7,241.9,322,197.4,192,165.7
UN083071,237.4,362.7,215.8,189.1,188.8,178.5
UN086129,238.5,306.6,156,194.7,196.6,167.3
UN076383,239,550.5,683.9,117.3,240.6,164.5
UN066529,239.2,260.2,166,705.6,255.8,436.3
UN091426,239.5,221.2,418.3,526.2,546.5,578.7
UN072158,239.7,207.9,53.1,124.6,199.8,186
UN075276,240.9,230.1,102.9,318.7,386.7,433
UN087559,241.3,102.9,152.7,118,188.3,139
UN081255,241.8,240.4,478.1,357,489.6,408
UN061102,241.8,467.8,96.3,266.7,317.3,261.7
UN090542,242.2,156.3,468.1,133.4,184.2,140.5
UN074149,243.2,489.1,49.8,336.3,247.5,376.5
UN079932,243.2,238.8,2111.5,224,366.9,206.5
UN062938,243.4,315.8,285.5,708.6,222.3,610
UN093206,243.9,343.8,102.9,231.3,136.4,337.1
UN104663,244.5,539.7,179.3,430.2,432.6,408
UN084066,245,1110.4,185.9,289.9,213.6,307.1
UN089475,245.2,259,,215.4,395,206.3
UN093311,245.9,1440.9,461.5,400.5,197,413
UN078041,246.2,606.1,106.2,315.6,123.5,233
UN088032,246.4,196.3,172.6,221.3,410.1,214.3
UN090072,246.4,215.6,478.1,133.4,211.3,149.8
UN080218,246.4,118.2,212.5,127.4,88.6,84.1
UN082211,246.6,243.8,278.9,327.9,376.6,413
UN069625,247.1,288.9,288.8,820.5,272.3,445.9
UN067156,247.3,98.9,152.7,173.6,230.1,177.6
UN108190,247.3,910,365.2,321.2,257.2,322.2
UN063967,247.6,201.4,146.1,1437.2,474.4,1405.1
UN083779,247.6,190.4,541.2,160.4,233.8,148.9
UN105241,248,321.5,720.4,232.4,271,319.2
UN088148,248.7,111.1,259,239.5,97.4,294.9
UN049231,249.4,684.5,195.9,507.4,624.6,760.8
UN082441,250.1,150.1,335.3,646.2,294.8,636.7
UN090984,250.3,1069.2,259,718.2,176.4,919.9
UN069975,250.8,1176.5,172.6,567.2,355,713.9
UN065810,251.9,163.2,345.3,162.9,208,168.1
UN069471,252.4,177.8,508,196.6,232.4,186.2
UN112086,252.6,218.7,498,360.6,428.9,406.1
UN069629,252.6,923,122.8,365,425.3,303.1
UN069782,252.6,102.4,816.7,112.3,135,100.6
UN076966,253.3,72.4,574.4,243.7,570.9,303.3
UN107485,254,457.9,1092.3,317.9,198.4,288.8
UN075033,255.4,158,342,98.3,182.3,106.7
UN078973,255.6,139.9,491.4,232.4,320.1,259.7
UN095545,255.9,476.1,388.4,365.8,212.2,299.8
UN111516,257,358.5,305.4,175.7,152,204.3
UN077442,258.9,200.9,205.8,187.2,260.9,192.7
UN067041,258.9,104.3,265.6,146.4,186.5,131.3
UN095267,259.1,238,189.2,209.6,224.1,274.8
UN081755,260,292,199.2,174.8,183.7,273.9
UN067968,261.4,341.6,1982,426.2,358.2,816.7
UN100408,261.4,115.1,381.8,223.8,291.6,278.1
UN080724,261.9,278.3,43.2,288.6,275.1,232.4
UN065705,261.9,114.2,305.4,217.7,308.2,368.4
UN080888,262.1,800.2,139.4,197.4,152.5,165.1
UN076840,262.3,178.8,182.6,674.3,916.7,728.1
UN086713,263.7,802.4,308.8,571.6,369.2,507
UN074090,263.7,100.5,149.4,152.9,280.6,249
UN105222,264.2,246.8,119.5,234,261.8,230.2
UN080628,264.4,411.6,129.5,420.8,259,293.3
UN090278,264.4,257.4,1543.8,235.5,486.8,313.8
UN075477,264.4,226.7,464.8,215,240.2,191.6
UN092911,264.6,220.1,820,187.6,301.3,169.2
UN090179,265.8,1026.3,1852.5,286.3,369.7,1166.7
UN039185,266.7,54.9,335.3,187,211.3,150.4
UN076154,267.6,460.3,,589.2,252.6,604.4
UN070432,267.9,3189.5,358.6,1121,327.9,1528.6
UN061694,270,185.4,381.8,598.8,678.3,362.5
UN079298,270,258.1,451.5,64.2,107.5,101.7
UN083491,270.4,211.3,434.9,356.8,226.4,330.6
UN075704,271.3,154.7,232.4,306.4,296.7,302.6
UN065622,271.6,65.1,215.8,821.1,110.7,244
UN065479,272,151.4,149.4,633.5,414.7,793.8
UN099293,272.7,153.8,212.5,236.3,260.4,244
UN078692,273.2,115.2,627.5,115,145.6,91.6
UN066579,273.4,984.1,43.2,297.4,167.6,306.9
UN114960,273.6,187.6,169.3,242.4,287.5,224.4
UN081959,274.3,151.5,398.4,1050.7,1161.9,879.8
UN085438,274.3,198.6,554.4,186.8,278.3,174.8
UN078396,275,237.2,96.3,165.2,83.1,128.9
UN081220,276,96.2,338.6,980,709.1,435.6
UN074019,276,171.5,654,231.7,282.4,253.7
UN076153,277.1,66.7,551.1,283.2,368.3,334.1
UN109214,277.8,728.1,713.8,655.7,378.9,520.7
UN089299,279.4,509.4,172.6,243,239.3,269
UN069053,279.9,144.7,1009.3,165.6,245.2,225.9
UN070627,280.1,1085.4,112.9,453.2,469.8,608.3
UN086161,280.8,438.1,232.4,449.2,289.3,496.8
UN105579,282.2,241.9,836.6,236.3,434.9,241
UN085034,282.4,1386.8,166,401.6,160.3,535.6
